Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1)
21.0,69.0,3.0,313.0,4.4
21.0,67.75,3.65,304.5,8.8
21.0,66.5,4.3,296.0,8.8
21.0,65.25,4.949999999999999,274.5,8.8
21.0,64.0,5.6,253.0,8.8
21.0,64.0,5.475,231.5,11.0
21.0,64.0,5.35,210.0,11.0
21.0,64.0,5.225,223.75,11.0
21.0,64.0,5.1,237.5,11.0
21.25,64.0,4.725,251.25,11.0
21.5,64.0,4.35,265.0,11.0
21.75,64.0,3.975,238.75,11.0
22.0,64.0,3.6,212.5,11.0
22.0,64.0,3.6,186.25,11.0
22.0,64.0,3.6,160.0,11.0
22.0,64.0,3.6,138.25,11.0
22.0,64.0,3.6,116.5,11.0
21.75,65.25,3.975,94.75,11.0
21.5,66.5,4.35,73.0,11.0
21.25,67.75,4.725,72.5,11.0
21.0,69.0,5.1,72.0,11.0
20.75,71.25,4.449999999999999,71.5,5.5
20.5,73.5,3.8,71.0,5.5
20.25,75.75,3.15,58.25,5.5
20.0,78.0,2.5,45.5,5.5
19.75,78.0,3.15,32.75,1.1
19.5,78.0,3.8,20.0,1.1
19.25,78.0,4.449999999999999,0.0,1.1
19.0,78.0,5.1,0.0,1.1
18.75,79.25,4.574999999999999,0.0,1.1
18.5,80.5,4.05,0.0,1.1
18.25,81.75,3.525,0.0,1.1
18.0,83.0,3.0,0.0,1.1
18.0,83.0,4.175,0.0,0.0
18.0,83.0,5.35,0.0,0.0
18.0,83.0,6.525,0.0,0.0
18.0,83.0,7.7,0.0,0.0
18.0,83.0,6.275,0.0,0.0
18.0,83.0,4.85,0.0,0.0
18.0,83.0,3.425,0.0,0.0
18.0,83.0,2.0,0.0,0.0
18.0,83.0,2.125,0.0,0.0
